PPD_D1,heading
Wt,542.6999999
Wt,496.2874999
Wt,480.3124999
Wt,484.2874999
Wt,544.8374999
Wt,499.2249999
Wt,548.7999999
Wt,471.8999999
Wt,489.3999999
Wt,509.9999999
Wt,467.9499999
Wt,484.2874999
Wt,478.1749999
Wt,496.0874999
Wt,544.1624999
Wt,494.3124999
Wt,519.6624999
Wt,488.9749999
Wt,598.7124999
Wt,555.6749999
Wt,539.9124999
Wt,516.9624999
Wt,536.5874999
Wt,548.5499999
Wt,544.0749999
Wt,560.6499999
Wt,552.0249999
Wt,488.1749999
Wt,496.2874999
Wt,486.0624999
Wt,480.3124999
Wt,528.5374999
Wt,491.1749999
Wt,530.6624999
Wt,428.1499999
Wt,530.6624999
Wt,546.3124999
Wt,583.5624999
Wt,501.3874999
CSTC,493.2874999
Wt,519.6624999
Wt,496.0874999
Wt,588.3624999
Wt,613.5749999
Wt,598.5249999
Wt,624.4874999
Wt,548.3999999
Wt,563.7624999
Wt,615.8249999
Wt,489.3999999
Wt,575.9124999
Wt,571.2999999
Wt,521.4874999
Wt,530.5624999
Wt,544.0749999
Wt,539.9249999
Wt,484.2874999
Wt,568.1249999
Wt,559.2374999
Wt,541.6749999
Wt,526.8749999
Wt,496.2874999
Wt,464.6499999
CSTC,484.2874999
Wt,484.2874999
Wt,494.3124999
Wt,560.3999999
TMIC,480.9874999
TMIC,467.2124999
Wt,575.9124999
Wt,539.9249999
CSTC,553.5249999
Wt,508.0874999
Wt,507.6749999
Wt,539.9249999
Wt,544.9374999
Wt,590.6249999
Wt,543.4249999
Wt,521.9624999
Wt,542.9999999
Wt,544.8374999
Wt,567.2749999
Wt,489.3999999
Wt,477.6874999
Wt,452.6874999
Wt,478.1749999
Wt,464.6499999
Wt,409.0749999
Wt,472.0624999
Wt,455.9874999
Wt,467.6249999
Wt,484.2874999
Wt,479.1749999
Wt,484.2874999
Wt,494.3124999
Wt,491.1749999
Wt,609.4249999
TMIC,486.0624999
Wt,455.9874999
Wt,560.3999999
Wt,530.8374999
Wt,524.5749999
Wt,581.9499999
Wt,453.1499999
Wt,530.6624999
Wt,519.9374999
Wt,549.5624999
Wt,501.3874999
Wt,472.3249999
Wt,576.1624999
Wt,489.3999999
Wt,480.9874999
Wt,496.2874999
Wt,551.9499999
Wt,489.1999999
Wt,539.4374999
Wt,501.1999999
Wt,588.6999999
Wt,596.0124999
Wt,467.1499999
Wt,480.9874999
CSTC,484.2874999
Wt,506.1124999
Wt,486.0999999
Wt,525.9249999
Wt,551.5249999
Wt,562.5499999
Wt,494.3124999
Wt,494.3124999
Wt,494.3124999
Wt,480.9874999
Wt,469.7624999
TMIC,508.0874999
